Clock,Servers,QueueSize,Processed,Blocked
[Cycle 352] Servers: 13, Queue: 306, Processed: 219, Blocked: 0
[Cycle 353] Servers: 13, Queue: 306, Processed: 220, Blocked: 0
[Cycle 354] Servers: 13, Queue: 305, Processed: 222, Blocked: 0
[Cycle 355] Servers: 13, Queue: 306, Processed: 222, Blocked: 0
[Cycle 356] Servers: 13, Queue: 307, Processed: 222, Blocked: 0
[Cycle 357] Servers: 13, Queue: 307, Processed: 223, Blocked: 0
[Cycle 358] Servers: 13, Queue: 308, Processed: 223, Blocked: 0
[Cycle 359] Servers: 13, Queue: 307, Processed: 225, Blocked: 0
[Cycle 360] Servers: 13, Queue: 308, Processed: 225, Blocked: 0
[Cycle 361] Servers: 13, Queue: 308, Processed: 226, Blocked: 0
[Cycle 362] Servers: 13, Queue: 308, Processed: 227, Blocked: 0
[Cycle 363] Servers: 13, Queue: 307, Processed: 229, Blocked: 0
[Cycle 364] Servers: 13, Queue: 306, Processed: 230, Blocked: 0
[Cycle 365] Servers: 13, Queue: 307, Processed: 230, Blocked: 0
[Cycle 366] Servers: 13, Queue: 307, Processed: 231, Blocked: 0
[Cycle 367] Servers: 13, Queue: 307, Processed: 232, Blocked: 0
[Cycle 368] Servers: 13, Queue: 308, Processed: 232, Blocked: 0
[Cycle 369] Servers: 13, Queue: 309, Processed: 232, Blocked: 0
[Cycle 370] Servers: 13, Queue: 309, Processed: 232, Blocked: 0
[Cycle 371] Servers: 13, Queue: 310, Processed: 232, Blocked: 0
[Cycle 372] Servers: 13, Queue: 309, Processed: 233, Blocked: 0
[Cycle 373] Servers: 13, Queue: 307, Processed: 236, Blocked: 0
[Cycle 374] Servers: 13, Queue: 308, Processed: 236, Blocked: 0
[Cycle 375] Servers: 13, Queue: 309, Processed: 236, Blocked: 0
